,J,dJ,stepsize
0,0.8176157582251103,-0.7945949694391659,0.34375
1,0.6806997630171985,-9.668973246825487e-06,0.375
2,0.6806979440342629,-8.453190881026194e-08,0.37890625
3,0.6806979279618419,-7.485830863950509e-10,0.375
4,0.6806979278209484,-6.548284048729787e-12,0.37890625
5,0.6806979278197023,-5.795779313453837e-14,0.375
6,0.6806979278196916,-5.072786093351958e-16,0.23828125
7,0.6806979278196914,-7.272233183046773e-17,0.00390625
8,0.6806979278196915,-7.127970851773706e-17,0.109375
9,0.6806979278196913,-3.709005251268114e-17,0.03125
10,0.6806979278196915,-3.1445759177467883e-17,0.25
11,0.6806979278196913,-4.324530040200966e-18,0.0078125
12,0.6806979278196912,-4.158961997525903e-18,1.0
13,0.6806979278196912,-9.159527980730666e-18,0.00390625
14,0.6806979278196912,-8.980157162760434e-18,0.0625
15,0.6806979278196914,-6.3769039182451636e-18,0.46875
16,0.6806979278196913,-2.60626142655318e-19,0.25
17,0.6806979278196914,-2.6348216288474125e-20,1.0
18,0.6806979278196913,-7.433936368167578e-20,0.5
19,0.6806979278196913,-1.1039612460790535e-20,0.984375
20,0.6806979278196913,-3.6437340523618106e-20,0.00390625
21,0.6806979278196914,-3.5623316065513855e-20,1.0
22,0.6806979278196912,-1.2577530436126405e-19,0.25
23,0.6806979278196914,-9.788475071800788e-21,0.02734375
24,0.6806979278196912,-8.311539859913151e-21,0.00390625
25,0.6806979278196914,-8.126110109333416e-21,0.25
26,0.6806979278196912,-6.545922854181641e-22,0.125
27,0.6806979278196913,-2.7249418014042998e-22,0.00390625
28,0.6806979278196913,-2.6650164601178136e-22,1.0
29,0.6806979278196914,-9.007094677657047e-22,0.25
30,0.6806979278196913,-7.423313428482891e-23,0.125
31,0.6806979278196914,-3.115161445665926e-23,0.0078125
32,0.6806979278196915,-2.980032093847585e-23,0.01171875
33,0.6806979278196914,-2.7873243496061756e-23,0.25390625
34,0.6806979278196912,-2.3735589175268953e-24,0.5
35,0.680697927819691,-3.502375877085654e-25,0.0625
36,0.6806979278196915,-2.364052589481858e-25,0.4921875
37,0.6806979278196913,-3.9779725839750086e-26,0.00390625
38,0.6806979278196914,-3.886679798265871e-26,0.00390625
39,0.6806979278196915,-3.80470318593736e-26,0.9921875
