,J,dJ,stepsize
0,2471.5583641224907,-7.952520900063166,8.75
1,2471.0645505326256,-7.950757618556862,5.0
2,2471.0645505326256,-7.950757618556862,5.0
3,2471.0645505326256,-7.950757618556862,5.0
4,2471.0645505326256,-7.950757618556862,5.0
5,2471.0645505326256,-7.950757618556862,5.0
6,2471.0645505326256,-7.950757618556862,5.0
7,2471.0645505326256,-7.950757618556862,5.0
8,2471.0645505326256,-7.950757618556862,5.0
9,2471.0645505326256,-7.950757618556862,5.0
10,2471.0645505326256,-7.950757618556862,5.0
11,2471.0645505326256,-7.950757618556862,5.0
12,2471.0645505326256,-7.950757618556862,5.0
13,2471.0645505326256,-7.950757618556862,5.0
14,2471.0645505326256,-7.950757618556862,5.0
15,2471.0645505326256,-7.950757618556862,5.0
16,2471.0645505326256,-7.950757618556862,5.0
17,2471.0645505326256,-7.950757618556862,5.0
18,2471.0645505326256,-7.950757618556862,5.0
19,2471.0645505326256,-7.950757618556862,5.0
20,2471.0645505326256,-7.950757618556862,5.0
21,2471.0645505326256,-7.950757618556862,5.0
22,2471.0645505326256,-7.950757618556862,5.0
23,2471.0645505326256,-7.950757618556862,5.0
24,2471.0645505326256,-7.950757618556862,5.0
25,2471.0645505326256,-7.950757618556862,5.0
26,2471.0645505326256,-7.950757618556862,5.0
27,2471.0645505326256,-7.950757618556862,5.0
28,2471.0645505326256,-7.950757618556862,5.0
29,2471.0645505326256,-7.950757618556862,5.0
30,2471.0645505326256,-7.950757618556862,5.0
31,2471.0645505326256,-7.950757618556862,5.0
32,2471.0645505326256,-7.950757618556862,5.0
33,2471.0645505326256,-7.950757618556862,5.0
34,2471.0645505326256,-7.950757618556862,5.0
35,2471.0645505326256,-7.950757618556862,5.0
36,2471.0645505326256,-7.950757618556862,5.0
37,2471.0645505326256,-7.950757618556862,5.0
38,2471.0645505326256,-7.950757618556862,5.0
39,2471.0645505326256,-7.950757618556862,5.0
